id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
1,12-methyltetradecanoic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,12-methyltetradecanoic acid,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
2,13-methylmyristicacid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,13-methylmyristicacid,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
3,14-methylhexadecanoic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,14-methylhexadecanoic acid,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
4,14-methylpentadecanoic acid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,14-methylpentadecanoic acid,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
5,15-methylpalmiticacid,Lipids/FattyAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,15-methylpalmiticacid,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
6,acetoacetate,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,acetoacetate,Acetoacetic acid (lithium salt),Sigma-Aldrich,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
7,acetyl coenzyme a,PrimaryMetabolites,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,acetyl coenzyme a,Sigma-Aldrich,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
8,adenine,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,adenine,Acros organics,99% purity,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
9,amylopectin,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,amylopectin,MP Biomedicals,,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
10,amylose,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.1734,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,amylose,MP Biomedicals,Essential free of amylopectin,Without further sample processing,CaF2 slide,Spontaneous,"Kaiser System Hololab
5000R modular Raman microspectrometer.  Diode laser
(Toptica Photonics AG.). Back illuminated deep depletion
Pelletier cooled (-70 °C) CCD detector (Andor)",Delivery: 100x air objective  (Leica) Collection: confocal 15 µm aperture and a collection fiber to the spectrograph ,785.0,45 mW,60 s,365-1800 cm-1,4 cm-1,Not specified,CCD,Wavenumber and intensity calibration. ,365-1800cm-1 ,"Implemented,  method not specified",Correction for dark noise of the detector. ,Correction for optical components contributions,"Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox","Extended multiplicative scattering correction (EMSC),
using the EMSC toolbox",
